# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-02-15 12:44:38 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15485500 TANANA R AT FAIRBANKS AK
# -----------------------------------------------------------------------------------
#
# Data provided for site 15485500
#            TS   parameter     statistic     Description
#          1085       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	1085_00060_00003	1085_00060_00003_cd
USGS	15485500	1973-05-01	13500	A
USGS	15485500	1973-05-02	14000	A
USGS	15485500	1973-05-03	16000	A
USGS	15485500	1973-05-04	18000	A
USGS	15485500	1973-05-05	20000	A
USGS	15485500	1973-05-06	21000	A
USGS	15485500	1973-05-07	20000	A
USGS	15485500	1973-05-08	20000	A
USGS	15485500	1973-05-09	20000	A
USGS	15485500	1973-05-10	20000	A
USGS	15485500	1973-05-11	21000	A
USGS	15485500	1973-05-12	23000	A
USGS	15485500	1973-05-13	23000	A
USGS	15485500	1973-05-14	24000	A
USGS	15485500	1973-05-15	25000	A
USGS	15485500	1973-05-16	28000	A
USGS	15485500	1973-05-17	30000	A
USGS	15485500	1973-05-18	29000	A
USGS	15485500	1973-05-19	28000	A
USGS	15485500	1973-05-20	29000	A
USGS	15485500	1973-05-21	28000	A
USGS	15485500	1973-05-22	25000	A
USGS	15485500	1973-05-23	23000	A
USGS	15485500	1973-05-24	22000	A
USGS	15485500	1973-05-25	22000	A
USGS	15485500	1973-05-26	23000	A
USGS	15485500	1973-05-27	23000	A
USGS	15485500	1973-05-28	22000	A
USGS	15485500	1973-05-29	21000	A
USGS	15485500	1973-05-30	21000	A
USGS	15485500	1973-05-31	22000	A
USGS	15485500	1973-06-01	25000	A
USGS	15485500	1973-06-02	23000	A
USGS	15485500	1973-06-03	22000	A
USGS	15485500	1973-06-04	21000	A
USGS	15485500	1973-06-05	26000	A
USGS	15485500	1973-06-06	26000	A
USGS	15485500	1973-06-07	26000	A
USGS	15485500	1973-06-08	25000	A
USGS	15485500	1973-06-09	24900	A
USGS	15485500	1973-06-10	25200	A
USGS	15485500	1973-06-11	26300	A
USGS	15485500	1973-06-12	27900	A
USGS	15485500	1973-06-13	29500	A
USGS	15485500	1973-06-14	32500	A
USGS	15485500	1973-06-15	36000	A
USGS	15485500	1973-06-16	39000	A
USGS	15485500	1973-06-17	42000	A
USGS	15485500	1973-06-18	43600	A
USGS	15485500	1973-06-19	45200	A
USGS	15485500	1973-06-20	47600	A
USGS	15485500	1973-06-21	50000	A
USGS	15485500	1973-06-22	52000	A
USGS	15485500	1973-06-23	52600	A
USGS	15485500	1973-06-24	49200	A
USGS	15485500	1973-06-25	48000	A
USGS	15485500	1973-06-26	52800	A
USGS	15485500	1973-06-27	49200	A
USGS	15485500	1973-06-28	47600	A
USGS	15485500	1973-06-29	44000	A
USGS	15485500	1973-06-30	41500	A
USGS	15485500	1973-07-01	41000	A
USGS	15485500	1973-07-02	41000	A
USGS	15485500	1973-07-03	42000	A
USGS	15485500	1973-07-04	44000	A
USGS	15485500	1973-07-05	46000	A
USGS	15485500	1973-07-06	47000	A
USGS	15485500	1973-07-07	48000	A
USGS	15485500	1973-07-08	48000	A
USGS	15485500	1973-07-09	47600	A
USGS	15485500	1973-07-10	46800	A
USGS	15485500	1973-07-11	46600	A
USGS	15485500	1973-07-12	46600	A
USGS	15485500	1973-07-13	46000	A
USGS	15485500	1973-07-14	46000	A
USGS	15485500	1973-07-15	45500	A
USGS	15485500	1973-07-16	45200	A
USGS	15485500	1973-07-17	44600	A
USGS	15485500	1973-07-18	42000	A
USGS	15485500	1973-07-19	39000	A
USGS	15485500	1973-07-20	39800	A
USGS	15485500	1973-07-21	41800	A
USGS	15485500	1973-07-22	43600	A
USGS	15485500	1973-07-23	46600	A
USGS	15485500	1973-07-24	49800	A
USGS	15485500	1973-07-25	51400	A
USGS	15485500	1973-07-26	53400	A
USGS	15485500	1973-07-27	55600	A
USGS	15485500	1973-07-28	55000	A
USGS	15485500	1973-07-29	55000	A
USGS	15485500	1973-07-30	54200	A
USGS	15485500	1973-07-31	52500	A
USGS	15485500	1973-08-01	50000	A
USGS	15485500	1973-08-02	47100	A
USGS	15485500	1973-08-03	44800	A
USGS	15485500	1973-08-04	43700	A
USGS	15485500	1973-08-05	42600	A
USGS	15485500	1973-08-06	41700	A
USGS	15485500	1973-08-07	43400	A
USGS	15485500	1973-08-08	44000	A
USGS	15485500	1973-08-09	42500	A
USGS	15485500	1973-08-10	41300	A
USGS	15485500	1973-08-11	41100	A
USGS	15485500	1973-08-12	40400	A
USGS	15485500	1973-08-13	38800	A
USGS	15485500	1973-08-14	36800	A
USGS	15485500	1973-08-15	33800	A
USGS	15485500	1973-08-16	30900	A
USGS	15485500	1973-08-17	29200	A
USGS	15485500	1973-08-18	28100	A
USGS	15485500	1973-08-19	27000	A
USGS	15485500	1973-08-20	26200	A
USGS	15485500	1973-08-21	28300	A
USGS	15485500	1973-08-22	35700	A
USGS	15485500	1973-08-23	49200	A
USGS	15485500	1973-08-24	60000	A
USGS	15485500	1973-08-25	56000	A
USGS	15485500	1973-08-26	50700	A
USGS	15485500	1973-08-27	48200	A
USGS	15485500	1973-08-28	44800	A
USGS	15485500	1973-08-29	42100	A
USGS	15485500	1973-08-30	40400	A
USGS	15485500	1973-08-31	37900	A
USGS	15485500	1973-09-01	34700	A
USGS	15485500	1973-09-02	31600	A
USGS	15485500	1973-09-03	29100	A
USGS	15485500	1973-09-04	27300	A
USGS	15485500	1973-09-05	25800	A
USGS	15485500	1973-09-06	24600	A
USGS	15485500	1973-09-07	23600	A
USGS	15485500	1973-09-08	22700	A
USGS	15485500	1973-09-09	21600	A
USGS	15485500	1973-09-10	20500	A
USGS	15485500	1973-09-11	20100	A
USGS	15485500	1973-09-12	20000	A
USGS	15485500	1973-09-13	19000	A
USGS	15485500	1973-09-14	18100	A
USGS	15485500	1973-09-15	17500	A
USGS	15485500	1973-09-16	16600	A
USGS	15485500	1973-09-17	16400	A
USGS	15485500	1973-09-18	16200	A
USGS	15485500	1973-09-19	15800	A
USGS	15485500	1973-09-20	15600	A
USGS	15485500	1973-09-21	15200	A
USGS	15485500	1973-09-22	15000	A
USGS	15485500	1973-09-23	14600	A
USGS	15485500	1973-09-24	14400	A
USGS	15485500	1973-09-25	14700	A
USGS	15485500	1973-09-26	15400	A
USGS	15485500	1973-09-27	14900	A
USGS	15485500	1973-09-28	13600	A
USGS	15485500	1973-09-29	12400	A
USGS	15485500	1973-09-30	12000	A
USGS	15485500	1973-10-01	12000	A
USGS	15485500	1973-10-02	11000	A
USGS	15485500	1973-10-03	11000	A
USGS	15485500	1973-10-04	10000	A
USGS	15485500	1973-10-05	10000	A
USGS	15485500	1973-10-06	10000	A
USGS	15485500	1973-10-07	9800	A
USGS	15485500	1973-10-08	9600	A
USGS	15485500	1973-10-09	9400	A
USGS	15485500	1973-10-10	9400	A
USGS	15485500	1973-10-11	9200	A
USGS	15485500	1973-10-12	9200	A
USGS	15485500	1973-10-13	9000	A
USGS	15485500	1973-10-14	9000	A
USGS	15485500	1973-10-15	8800	A
USGS	15485500	1973-10-16	8800	A
USGS	15485500	1973-10-17	8600	A
USGS	15485500	1973-10-18	8600	A
USGS	15485500	1973-10-19	8600	A
USGS	15485500	1973-10-20	8400	A
